key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2004or,2004,Pacific Northwest Regional,1078376400,OR,USA,NULL,2004-03-04,2004-03-06,0,1,f,NULL,Completed,81,81,58.65,37.7,17.09,26.39,13.64,0.5802,0.2118,NULL,NULL,NULL,NULL
2004pa,2004,Philadelphia Regional,1080190800,PA,USA,NULL,2004-03-25,2004-03-27,0,4,f,NULL,Completed,116,99,85.47,50.22,30.51,36.17,19.19,0.6724,0.2008,NULL,NULL,NULL,NULL
2004pit,2004,Pittsburgh Regional,1078981200,PA,USA,NULL,2004-03-11,2004-03-13,0,2,f,NULL,Completed,79,79,47.96,35.03,17.18,22.4,12.24,0.6835,0.2014,NULL,NULL,NULL,NULL
2004sac,2004,Sacramento Regional,1079586000,CA,USA,NULL,2004-03-18,2004-03-20,0,3,f,NULL,Completed,88,72,74.52,32.46,15.45,25.22,15.67,0.6705,0.189,NULL,NULL,NULL,NULL
2004sc,2004,Palmetto Regional,1080795600,SC,USA,NULL,2004-04-01,2004-04-03,0,5,f,NULL,Completed,102,84,52.61,39.14,25.44,27.19,12.56,0.6176,0.2174,NULL,NULL,NULL,NULL
2004sj,2004,Silicon Valley Regional,1080795600,CA,USA,NULL,2004-04-01,2004-04-03,0,5,f,NULL,Completed,109,92,76.17,43.91,25.15,27.39,16.04,0.5596,0.2187,NULL,NULL,NULL,NULL
2004tx,2004,Lone Star Regional,1080795600,TX,USA,NULL,2004-04-01,2004-04-03,0,5,f,NULL,Completed,114,97,56.51,39.1,19.97,24.14,13.7,0.6316,0.1989,NULL,NULL,NULL,NULL
2004wpi,2004,Battlecry@WPI 5,1087531200,MA,USA,NULL,2004-06-18,2004-06-19,99,9,t,NULL,Completed,88,56,74.6,54.46,32.22,39.48,15.27,0.5909,0.2654,NULL,NULL,NULL,NULL
2005arc,2005,Archimedes Division,1114056000,GA,USA,NULL,2005-04-21,2005-04-23,3,8,f,NULL,Completed,117,100,30.34,21.31,15.53,11.97,6.48,0.5726,0.2413,NULL,NULL,NULL,NULL
2005cmp,2005,Einstein Field,1114228800,GA,USA,NULL,2005-04-23,2005-04-23,4,8,f,NULL,Completed,7,0,28.77,21.2,NULL,21.46,5.73,0.2857,0.2166,NULL,NULL,NULL,NULL
